([2, 3], [2, 4])0.021276595744680854
([2, 2], [8, 4])0.0
([2, 1], [4, 5])0.0
([1, 2], [5, 3])0.0
([1, 3], [7, 4])0.0
([8, 5], [1, 3])0.0
([5, 5], [0, 2])0.0
([4, 4], [3, 1])0.0
([3, 2], [1, 2])0.0
([7, 4], [0, 2])0.0
([4, 5], [9, 5])0.0
([6, 3], [7, 4])0.15053763440860216
([0, 1], [2, 1])0.041666666666666664
([3, 1], [4, 4])0.0
([9, 5], [4, 4])0.0
([7, 5], [1, 3])0.0
([8, 4], [4, 3])0.0
([2, 2], [1, 2])0.04210526315789474
([1, 3], [2, 3])0.48387096774193544
([1, 3], [0, 0])0.0
([4, 4], [3, 4])0.07368421052631578
([4, 5], [3, 2])0.0
([1, 1], [0, 2])0.010416666666666668
([5, 5], [4, 3])0.0
([2, 1], [4, 4])0.0
([1, 2], [3, 1])0.0
([7, 4], [4, 3])0.0
([8, 5], [6, 3])0.0
([6, 3], [2, 3])0.0
([4, 2], [2, 2])0.0
([6, 4], [0, 1])0.0
([0, 1], [2, 4])0.0
([6, 3], [0, 0])0.0
([0, 0], [9, 5])0.0
([8, 5], [5, 3])0.0
([3, 4], [1, 0])0.0
([1, 0], [0, 1])0.05319148936170213
([4, 3], [1, 3])0.0
([7, 5], [6, 3])0.0
([1, 2], [3, 4])0.0
([7, 5], [5, 3])0.0
([0, 2], [1, 0])0.0
([0, 0], [3, 2])0.0
([1, 1], [4, 3])0.0
([6, 5], [0, 2])0.0
([2, 4], [1, 0])0.0
([3, 1], [1, 1])0.0
([3, 3], [2, 2])0.0
([9, 5], [1, 1])0.0
([3, 2], [7, 5])0.0
([8, 5], [3, 1])0.0
([2, 1], [1, 1])0.03157894736842105
([3, 4], [4, 5])0.010638297872340424
([2, 3], [2, 2])0.0
([2, 2], [7, 5])0.0
([3, 1], [6, 5])0.0
([4, 3], [6, 3])0.0
([9, 5], [6, 5])0.0
([8, 4], [1, 3])0.0
([6, 5], [4, 3])0.0
([5, 4], [0, 2])0.0
([3, 1], [5, 5])0.0
([4, 3], [5, 3])0.14736842105263157
([9, 5], [5, 5])0.0
([7, 5], [3, 1])0.0
([0, 2], [4, 5])0.0
([4, 4], [9, 5])0.0
([2, 4], [4, 5])0.0
([8, 5], [3, 4])0.0
([5, 3], [0, 1])0.0
([2, 1], [6, 5])0.0
([3, 1], [3, 3])0.0
([9, 5], [3, 3])0.0
([5, 5], [1, 3])0.0
([3, 2], [7, 4])0.0
([3, 1], [4, 2])0.26595744680851063
([7, 4], [1, 3])0.0
([9, 5], [4, 2])0.0
([2, 1], [5, 5])0.0
([4, 5], [2, 1])0.0
([3, 1], [8, 5])0.0
([9, 5], [8, 5])0.41935483870967744
([4, 4], [3, 2])0.0
([7, 5], [3, 4])0.0
([2, 1], [3, 3])0.0
([3, 4], [4, 4])0.4574468085106382
([5, 4], [4, 3])0.010638297872340424
([2, 2], [7, 4])0.0
([3, 1], [6, 4])0.0
([2, 1], [4, 2])0.05263157894736842
([9, 5], [6, 4])0.0
([8, 4], [6, 3])0.0
([3, 2], [2, 3])0.02083333333333333
([4, 3], [3, 1])0.0
([1, 2], [9, 5])0.0
([0, 1], [2, 2])0.15624999999999997
([3, 1], [5, 4])0.0
([9, 5], [5, 4])0.0
([3, 2], [0, 0])0.0
([8, 4], [5, 3])0.0
([2, 1], [8, 5])0.0
([0, 2], [4, 4])0.0
([1, 1], [1, 3])0.0
([4, 5], [2, 4])0.0
([2, 4], [4, 4])0.13978494623655913
([5, 5], [6, 3])0.0
([2, 1], [6, 4])0.0
([7, 4], [6, 3])0.0
([4, 2], [1, 0])0.0
([2, 2], [2, 3])0.12631578947368421
([5, 5], [5, 3])0.0
([1, 3], [0, 1])0.0
([0, 0], [2, 1])0.05208333333333333
([2, 1], [5, 4])0.0
([7, 4], [5, 3])0.0
([1, 2], [3, 2])0.05208333333333333
([2, 2], [0, 0])0.0
([6, 4], [0, 2])0.0
([4, 3], [3, 4])0.010526315789473682
([3, 1], [8, 4])0.0
([9, 5], [8, 4])0.05376344086021506
([6, 3], [0, 1])0.0
([1, 0], [0, 2])0.0
([6, 5], [1, 3])0.0
([8, 4], [3, 1])0.0
([1, 1], [6, 3])0.0
([3, 4], [1, 1])0.0
([2, 1], [8, 4])0.0
([0, 0], [2, 4])0.0
([8, 5], [9, 5])0.1276595744680851
([3, 3], [1, 0])0.0
([1, 1], [5, 3])0.0
([4, 2], [4, 5])0.0
([3, 1], [1, 2])0.0
([6, 4], [4, 3])0.0
([9, 5], [1, 2])0.0
([5, 5], [3, 1])0.0
([0, 2], [1, 1])0.0
([7, 4], [3, 1])0.0
([2, 4], [1, 1])0.0
([7, 5], [9, 5])0.0
([3, 4], [6, 5])0.0
([2, 3], [1, 0])0.0
([8, 4], [3, 4])0.0
([8, 5], [3, 2])0.0
([1, 0], [4, 3])0.0
([5, 4], [1, 3])0.0
([3, 4], [5, 5])0.010638297872340424
([2, 1], [1, 2])0.042105263157894736
([6, 5], [6, 3])0.0
([0, 2], [6, 5])0.0
([4, 4], [2, 1])0.0
([6, 5], [5, 3])0.0
([5, 5], [3, 4])0.0
([2, 4], [6, 5])0.0
([3, 4], [3, 3])0.042553191489361694
([7, 4], [3, 4])0.0
([3, 3], [4, 5])0.0
([0, 2], [5, 5])0.0
([7, 5], [3, 2])0.0
([1, 1], [3, 1])0.0
([3, 4], [4, 2])0.0
([2, 4], [5, 5])0.0
([4, 2], [4, 4])0.0
([5, 3], [0, 2])0.0
([3, 4], [8, 5])0.0
([0, 2], [3, 3])0.0
([0, 2], [4, 2])0.0
([4, 3], [9, 5])0.0
([2, 4], [3, 3])0.01075268817204301
([2, 3], [4, 5])0.0
([4, 4], [2, 4])0.0
([3, 4], [6, 4])0.0
([2, 4], [4, 2])0.0
([4, 5], [2, 2])0.0
([5, 4], [6, 3])0.0
([0, 2], [8, 5])0.0
([3, 4], [5, 4])0.07446808510638298
([1, 2], [2, 1])0.0
([1, 1], [3, 4])0.0
([5, 4], [5, 3])0.010638297872340424
([0, 1], [1, 0])0.0
([2, 4], [8, 5])0.0
([0, 2], [6, 4])0.0
([6, 5], [3, 1])0.0
([4, 3], [3, 2])0.0
([3, 1], [7, 5])0.0
([2, 4], [6, 4])0.0
([9, 5], [7, 5])0.03225806451612903
([3, 3], [4, 4])0.16842105263157894
([0, 2], [5, 4])0.0
([5, 3], [4, 3])0.15625
([2, 4], [5, 4])0.0
([3, 2], [0, 1])0.0
([6, 4], [1, 3])0.0
([3, 4], [8, 4])0.0
([1, 2], [2, 4])0.0
([1, 3], [0, 2])0.0
([0, 0], [2, 2])0.0
([2, 1], [7, 5])0.0
([8, 4], [9, 5])0.07526881720430109
([2, 3], [4, 4])0.053191489361702135
([6, 5], [3, 4])0.0
([4, 2], [1, 1])0.0
([1, 0], [1, 3])0.0
([0, 2], [8, 4])0.0
([2, 2], [0, 1])0.0
([5, 4], [3, 1])0.0
([0, 1], [4, 5])0.0
([2, 4], [8, 4])0.0
([5, 5], [9, 5])0.0
([6, 3], [0, 2])0.0
([8, 5], [2, 1])0.0
([7, 4], [9, 5])0.0
([8, 4], [3, 2])0.0
([3, 1], [7, 4])0.0
([9, 5], [7, 4])0.021505376344086023
