[2, 1][1, 0]0.0
[2, 1][1, 1]0.03
[2, 1][1, 2]0.04
[2, 1][1, 3]0.0
[2, 1][2, 1]0.07
[2, 1][2, 2]0.36
[2, 1][2, 3]0.0
[2, 1][2, 4]0.0
[2, 1][3, 1]0.02
[2, 1][3, 2]0.38
[2, 1][3, 3]0.0
[2, 1][3, 4]0.0
[2, 1][4, 2]0.05
[2, 1][4, 3]0.0
[2, 1][4, 4]0.0
[2, 1][4, 5]0.0
[2, 1][5, 3]0.0
[2, 1][5, 4]0.0
[2, 1][5, 5]0.0
[2, 1][6, 3]0.0
[2, 1][6, 4]0.0
[2, 1][6, 5]0.0
[2, 1][7, 4]0.0
[2, 1][7, 5]0.0
[2, 1][8, 4]0.0
[2, 1][8, 5]0.0
[2, 1][9, 5]0.0
[2, 2][0, 0]0.0
[2, 2][0, 1]0.0
[2, 2][0, 2]0.0
[2, 2][1, 0]0.0
[2, 2][1, 1]0.0
[2, 2][1, 2]0.04
[2, 2][1, 3]0.0
[2, 2][2, 1]0.0
[2, 2][2, 2]0.26
[2, 2][2, 3]0.12
[2, 2][2, 4]0.0
[2, 2][3, 1]0.0
[2, 2][3, 2]0.19
[2, 2][3, 3]0.26
[2, 2][3, 4]0.0
[2, 2][4, 2]0.01
[2, 2][4, 3]0.07
[2, 2][4, 4]0.0
[2, 2][4, 5]0.0
[2, 2][5, 3]0.0
[2, 2][5, 4]0.0
[2, 2][5, 5]0.0
[2, 2][6, 3]0.0
[2, 2][6, 4]0.0
[2, 2][6, 5]0.0
[2, 2][7, 4]0.0
[2, 2][7, 5]0.0
[2, 2][8, 4]0.0
[2, 2][8, 5]0.0
[2, 2][9, 5]0.0
[2, 3][0, 0]0.0
[2, 3][0, 1]0.0
[2, 3][0, 2]0.0
[2, 3][1, 0]0.0
[2, 3][1, 1]0.0
[2, 3][1, 2]0.0
[2, 3][1, 3]0.03
[2, 3][2, 1]0.0
[2, 3][2, 2]0.0
[2, 3][2, 3]0.3
[2, 3][2, 4]0.02
[2, 3][3, 1]0.0
[2, 3][3, 2]0.0
[2, 3][3, 3]0.38
[2, 3][3, 4]0.1
[2, 3][4, 2]0.0
[2, 3][4, 3]0.06
[2, 3][4, 4]0.05
[2, 3][4, 5]0.0
[2, 3][5, 3]0.0
[2, 3][5, 4]0.0
[2, 3][5, 5]0.0
[2, 3][6, 3]0.0
[2, 3][6, 4]0.0
[2, 3][6, 5]0.0
[2, 3][7, 4]0.0
[2, 3][7, 5]0.0
[2, 3][8, 4]0.0
[2, 3][8, 5]0.0
[2, 3][9, 5]0.0
[2, 4][0, 0]0.0
[2, 4][0, 1]0.0
[2, 4][0, 2]0.0
[2, 4][1, 0]0.0
[2, 4][1, 1]0.0
[2, 4][1, 2]0.0
[2, 4][1, 3]0.01
[2, 4][2, 1]0.0
[2, 4][2, 2]0.0
[2, 4][2, 3]0.06
[2, 4][2, 4]0.23
[2, 4][3, 1]0.0
[2, 4][3, 2]0.0
[2, 4][3, 3]0.01
[2, 4][3, 4]0.49
[2, 4][4, 2]0.0
[2, 4][4, 3]0.0
[2, 4][4, 4]0.13
[2, 4][4, 5]0.0
[2, 4][5, 3]0.0
[2, 4][5, 4]0.0
[2, 4][5, 5]0.0
[2, 4][6, 3]0.0
[2, 4][6, 4]0.0
[2, 4][6, 5]0.0
[2, 4][7, 4]0.0
[2, 4][7, 5]0.0
[2, 4][8, 4]0.0
[2, 4][8, 5]0.0
[2, 4][9, 5]0.0
[3, 1][0, 0]0.0
[3, 1][0, 1]0.0
[3, 1][0, 2]0.0
[3, 1][1, 0]0.0
[3, 1][1, 1]0.0
[3, 1][1, 2]0.0
[3, 1][1, 3]0.0
[3, 1][2, 1]0.03
[3, 1][2, 2]0.12
[3, 1][2, 3]0.0
[3, 1][2, 4]0.0
[3, 1][3, 1]0.03
[3, 1][3, 2]0.48
[3, 1][3, 3]0.0
[3, 1][3, 4]0.0
[3, 1][4, 2]0.25
[3, 1][4, 3]0.02
[3, 1][4, 4]0.0
[3, 1][4, 5]0.0
[3, 1][5, 3]0.01
[3, 1][5, 4]0.0
[3, 1][5, 5]0.0
[3, 1][6, 3]0.0
[3, 1][6, 4]0.0
[3, 1][6, 5]0.0
[3, 1][7, 4]0.0
[3, 1][7, 5]0.0
[3, 1][8, 4]0.0
[3, 1][8, 5]0.0
[3, 1][9, 5]0.0
[3, 2][0, 0]0.0
[3, 2][0, 1]0.0
[3, 2][0, 2]0.0
[3, 2][1, 0]0.0
[3, 2][1, 1]0.0
[3, 2][1, 2]0.0
[3, 2][1, 3]0.0
[3, 2][2, 1]0.0
[3, 2][2, 2]0.07
[3, 2][2, 3]0.02
[3, 2][2, 4]0.0
[3, 2][3, 1]0.0
[3, 2][3, 2]0.22
[3, 2][3, 3]0.25
[3, 2][3, 4]0.0
[3, 2][4, 2]0.07
[3, 2][4, 3]0.29
[3, 2][4, 4]0.0
[3, 2][4, 5]0.0
[3, 2][5, 3]0.04
[3, 2][5, 4]0.0
[3, 2][5, 5]0.0
[3, 2][6, 3]0.0
[3, 2][6, 4]0.0
[3, 2][6, 5]0.0
[3, 2][7, 4]0.0
[3, 2][7, 5]0.0
[3, 2][8, 4]0.0
[3, 2][8, 5]0.0
[3, 2][9, 5]0.0
[3, 3][0, 0]0.0
[3, 3][0, 1]0.0
[3, 3][0, 2]0.0
[3, 3][1, 0]0.0
[3, 3][1, 1]0.0
[3, 3][1, 2]0.0
[3, 3][1, 3]0.0
[3, 3][2, 1]0.0
[3, 3][2, 2]0.0
[3, 3][2, 3]0.06
[3, 3][2, 4]0.0
[3, 3][3, 1]0.0
[3, 3][3, 2]0.0
[3, 3][3, 3]0.35
[3, 3][3, 4]0.06
[3, 3][4, 2]0.0
[3, 3][4, 3]0.26
[3, 3][4, 4]0.16
[3, 3][4, 5]0.0
[3, 3][5, 3]0.02
[3, 3][5, 4]0.04
[3, 3][5, 5]0.0
[3, 3][6, 3]0.0
[3, 3][6, 4]0.0
[3, 3][6, 5]0.0
[3, 3][7, 4]0.0
[3, 3][7, 5]0.0
[3, 3][8, 4]0.0
[3, 3][8, 5]0.0
[3, 3][9, 5]0.0
[3, 4][0, 0]0.0
[3, 4][0, 1]0.0
[3, 4][0, 2]0.0
[3, 4][1, 0]0.0
[3, 4][1, 1]0.0
[3, 4][1, 2]0.0
[3, 4][1, 3]0.0
[3, 4][2, 1]0.0
[3, 4][2, 2]0.0
[3, 4][2, 3]0.01
[3, 4][2, 4]0.03
[3, 4][3, 1]0.0
[3, 4][3, 2]0.0
[3, 4][3, 3]0.04
[3, 4][3, 4]0.34
[3, 4][4, 2]0.0
[3, 4][4, 3]0.0
[3, 4][4, 4]0.43
[3, 4][4, 5]0.01
[3, 4][5, 3]0.0
[3, 4][5, 4]0.07
[3, 4][5, 5]0.01
[3, 4][6, 3]0.0
[3, 4][6, 4]0.0
[3, 4][6, 5]0.0
[3, 4][7, 4]0.0
[3, 4][7, 5]0.0
[3, 4][8, 4]0.0
[3, 4][8, 5]0.0
[3, 4][9, 5]0.0
[4, 2][0, 0]0.0
[4, 2][0, 1]0.0
[4, 2][0, 2]0.0
[4, 2][1, 0]0.0
[4, 2][1, 1]0.0
[4, 2][1, 2]0.0
[4, 2][1, 3]0.0
[4, 2][2, 1]0.0
[4, 2][2, 2]0.0
[4, 2][2, 3]0.0
[4, 2][2, 4]0.0
[4, 2][3, 1]0.0
[4, 2][3, 2]0.08
[4, 2][3, 3]0.05
[4, 2][3, 4]0.0
[4, 2][4, 2]0.13
[4, 2][4, 3]0.39
[4, 2][4, 4]0.0
[4, 2][4, 5]0.0
[4, 2][5, 3]0.27
[4, 2][5, 4]0.0
[4, 2][5, 5]0.0
[4, 2][6, 3]0.02
[4, 2][6, 4]0.0
[4, 2][6, 5]0.0
[4, 2][7, 4]0.0
[4, 2][7, 5]0.0
[4, 2][8, 4]0.0
[4, 2][8, 5]0.0
[4, 2][9, 5]0.0
[4, 3][0, 0]0.0
[4, 3][0, 1]0.0
[4, 3][0, 2]0.0
[4, 3][1, 0]0.0
[4, 3][1, 1]0.0
[4, 3][1, 2]0.0
[4, 3][1, 3]0.0
[4, 3][2, 1]0.0
[4, 3][2, 2]0.0
[4, 3][2, 3]0.0
[4, 3][2, 4]0.0
[4, 3][3, 1]0.0
[4, 3][3, 2]0.0
[4, 3][3, 3]0.1
[4, 3][3, 4]0.01
[4, 3][4, 2]0.0
[4, 3][4, 3]0.33
[4, 3][4, 4]0.14
[4, 3][4, 5]0.0
[4, 3][5, 3]0.14
[4, 3][5, 4]0.2
[4, 3][5, 5]0.0
[4, 3][6, 3]0.0
[4, 3][6, 4]0.03
[4, 3][6, 5]0.0
[4, 3][7, 4]0.0
[4, 3][7, 5]0.0
[4, 3][8, 4]0.0
[4, 3][8, 5]0.0
[4, 3][9, 5]0.0
[4, 4][0, 0]0.0
[4, 4][0, 1]0.0
[4, 4][0, 2]0.0
[4, 4][1, 0]0.0
[4, 4][1, 1]0.0
[4, 4][1, 2]0.0
[4, 4][1, 3]0.0
[4, 4][2, 1]0.0
[4, 4][2, 2]0.0
[4, 4][2, 3]0.0
[4, 4][2, 4]0.0
[4, 4][3, 1]0.0
[4, 4][3, 2]0.0
[4, 4][3, 3]0.02
[4, 4][3, 4]0.07
[4, 4][4, 2]0.0
[4, 4][4, 3]0.02
[4, 4][4, 4]0.42
[4, 4][4, 5]0.01
[4, 4][5, 3]0.0
[4, 4][5, 4]0.34
[4, 4][5, 5]0.03
[4, 4][6, 3]0.0
[4, 4][6, 4]0.03
[4, 4][6, 5]0.01
[4, 4][7, 4]0.0
[4, 4][7, 5]0.0
[4, 4][8, 4]0.0
[4, 4][8, 5]0.0
[4, 4][9, 5]0.0
[4, 5][0, 0]0.0
[4, 5][0, 1]0.0
[4, 5][0, 2]0.0
[4, 5][1, 0]0.0
[4, 5][1, 1]0.0
[4, 5][1, 2]0.0
[4, 5][1, 3]0.0
[4, 5][2, 1]0.0
[4, 5][2, 2]0.0
[4, 5][2, 3]0.0
[4, 5][2, 4]0.0
[4, 5][3, 1]0.0
[4, 5][3, 2]0.0
[4, 5][3, 3]0.0
[4, 5][3, 4]0.06
[4, 5][4, 2]0.0
[4, 5][4, 3]0.0
[4, 5][4, 4]0.19
[4, 5][4, 5]0.22
[4, 5][5, 3]0.0
[4, 5][5, 4]0.06
[4, 5][5, 5]0.36
[4, 5][6, 3]0.0
[4, 5][6, 4]0.0
[4, 5][6, 5]0.05
[4, 5][7, 4]0.0
[4, 5][7, 5]0.0
[4, 5][8, 4]0.0
[4, 5][8, 5]0.0
[4, 5][9, 5]0.0
[5, 3][0, 0]0.0
[5, 3][0, 1]0.0
[5, 3][0, 2]0.0
[5, 3][1, 0]0.0
[5, 3][1, 1]0.0
[5, 3][1, 2]0.0
[5, 3][1, 3]0.0
[5, 3][2, 1]0.0
[5, 3][2, 2]0.0
[5, 3][2, 3]0.0
[5, 3][2, 4]0.0
[5, 3][3, 1]0.0
[5, 3][3, 2]0.0
[5, 3][3, 3]0.0
[5, 3][3, 4]0.0
[5, 3][4, 2]0.0
[5, 3][4, 3]0.15
[5, 3][4, 4]0.03
[5, 3][4, 5]0.0
[5, 3][5, 3]0.27
[5, 3][5, 4]0.25
[5, 3][5, 5]0.0
[5, 3][6, 3]0.05
[5, 3][6, 4]0.2
[5, 3][6, 5]0.0
[5, 3][7, 4]0.01
[5, 3][7, 5]0.0
[5, 3][8, 4]0.0
[5, 3][8, 5]0.0
[5, 3][9, 5]0.0
[5, 4][0, 0]0.0
[5, 4][0, 1]0.0
[5, 4][0, 2]0.0
[5, 4][1, 0]0.0
[5, 4][1, 1]0.0
[5, 4][1, 2]0.0
[5, 4][1, 3]0.0
[5, 4][2, 1]0.0
[5, 4][2, 2]0.0
[5, 4][2, 3]0.0
[5, 4][2, 4]0.0
[5, 4][3, 1]0.0
